#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,TS%,eFG%,"Total S %",ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,POS
15,"Lluis Costa",MAN,47,23.9,2.9,7.1,.401,1.1,3.6,.323,1.3,1.6,.824,2.0,1.9,0.2,1.6,1.8,3.7,1.3,0.0,8.1,.522,.482,154.9,0.9,8.3,4.7,25.7,20.4,3.1,0.1,19.8,2.0,1.1,103.4,105.7,-2.3,269.0,13.0,0
12,"Eduardo Hernandez-Sonseca",LBC,38,20.7,3.1,6.1,.500,0.2,0.6,.375,1.8,2.1,.861,1.1,2.3,1.6,4.3,5.9,0.6,0.3,0.6,8.1,.579,.519,173.6,9.5,26.2,17.7,5.6,13.6,0.9,3.0,19.4,-3.4,1.3,112.3,105.5,6.8,263.1,16.8,4
6,"Papa Mbaye",FOR,29,20.5,3.4,5.7,.600,0.0,0.0,1.000,1.2,1.9,.625,1.0,1.9,1.5,3.0,4.4,0.9,0.8,1.0,8.1,.617,.603,222.5,9.3,18.7,14.0,8.7,13.7,2.2,5.2,18.6,-2.1,1.4,119.0,106.5,12.5,218.8,20.4,4
9,"Jonathan Araujo",ARAB,32,19.6,3.3,6.5,.512,0.3,0.7,.409,1.1,1.5,.714,1.2,3.2,2.3,4.1,6.5,0.4,0.4,0.8,8.1,.560,.533,163.5,14.6,26.3,20.4,3.4,14.8,1.0,4.2,20.0,-4.8,1.2,112.4,112.6,-0.2,217.9,17.9,4
10,"Pablo Almazan",MEL,46,24.5,3.0,7.0,.421,1.0,3.3,.313,1.1,1.8,.590,1.2,1.6,1.0,3.7,4.7,2.0,1.0,0.1,8.0,.512,.494,132.5,5.1,17.1,11.5,14.5,13.1,2.4,0.3,18.8,0.7,1.1,105.7,102.4,3.2,319.1,14.2,2
25,"Alberto Ruiz de Galarreta",ISB,34,20.8,2.7,8.0,.335,1.5,4.6,.316,1.2,1.4,.833,0.9,0.9,0.3,2.3,2.6,0.6,0.4,0.0,8.0,.464,.426,148.4,1.9,14.8,8.2,5.7,9.3,1.1,0.1,23.2,-2.3,1.0,94.2,113.9,-19.6,110.2,9.8,2
23,"Sergio Perez",CAC,32,23.4,2.5,5.4,.465,1.6,3.7,.436,1.4,1.6,.900,0.9,1.1,0.6,2.4,3.0,1.1,0.5,0.1,8.0,.660,.613,180.1,3.1,13.0,8.1,8.6,12.6,1.1,0.4,14.8,-0.5,1.5,124.3,115.1,9.2,192.5,13.9,3
13,"Fabio Santana",OCB,39,25.5,3.1,6.7,.465,0.7,2.2,.322,1.0,1.5,.672,1.7,1.4,0.4,1.7,2.1,4.0,1.2,0.2,7.9,.541,.519,146.0,2.2,8.2,5.2,27.7,19.0,2.8,0.6,17.7,3.7,1.2,109.0,108.3,0.7,272.2,14.5,0
11,"Atoumane Diagne",FCB,33,22.1,3.3,6.0,.548,0.0,0.0,.000,1.3,2.2,.589,1.5,3.4,2.8,4.8,7.6,0.5,0.7,1.3,7.9,.565,.548,113.7,14.3,25.0,19.6,4.1,17.5,1.7,5.1,17.9,-5.0,1.3,107.6,102.5,5.0,272.9,17.5,3
13,"Marc Marti",FOR,34,20.1,3.0,6.3,.481,0.4,1.5,.250,1.4,2.1,.671,0.7,2.9,1.6,2.6,4.2,0.9,0.6,0.4,7.9,.544,.512,140.3,10.8,16.9,13.8,8.2,8.9,1.6,2.3,20.2,-0.6,1.3,116.4,111.5,4.9,193.1,17.2,3
16,"Erik Quintela",KRC,34,27.6,2.9,7.2,.410,1.0,3.2,.321,0.9,1.3,.727,2.0,3.2,1.0,2.1,3.1,2.9,2.5,0.0,7.9,.507,.482,145.8,4.3,10.8,7.3,18.1,20.8,5.0,0.1,16.8,-0.2,1.1,100.9,105.8,-4.9,217.2,12.9,0
18,"Robertas Grabauskas",CAC,34,19.7,2.7,5.2,.523,0.0,0.0,.000,2.4,3.4,.728,1.5,2.9,1.4,3.5,5.0,0.3,0.1,0.1,7.9,.590,.523,125.1,9.5,22.4,16.1,3.1,18.4,0.2,0.8,20.7,-6.5,1.5,106.3,113.5,-7.2,149.8,12.9,4
14,"Mikel Motos",MAG,33,23.1,2.6,7.1,.368,0.8,2.9,.258,1.8,2.2,.822,1.4,2.4,0.7,1.9,2.6,2.4,1.2,0.4,7.8,.483,.421,144.7,3.7,11.3,7.3,19.4,15.0,3.1,1.7,20.8,0.8,1.1,99.9,106.6,-6.7,170.6,13.2,1
21,"Noah Allen",MAN,47,20.6,3.1,6.6,.471,0.5,2.2,.245,0.9,1.1,.755,1.1,2.1,1.2,2.5,3.6,0.9,0.9,0.2,7.6,.535,.511,147.1,7.1,14.5,10.9,7.9,13.2,2.5,1.0,19.2,-2.2,1.2,107.6,104.2,3.4,241.6,14.4,3
14,"Miguel Feliu",FOR,34,22.4,2.6,6.4,.406,1.1,3.3,.345,1.3,1.7,.754,1.1,1.5,0.8,3.1,3.9,1.0,0.6,0.3,7.6,.533,.495,150.5,4.5,18.3,11.4,8.1,13.3,1.6,1.4,18.7,-1.8,1.2,106.1,111.8,-5.8,183.4,13.1,2
5,"Joan Tomas",PAE,29,21.2,2.8,5.8,.491,1.2,2.8,.444,0.7,1.0,.667,0.7,1.4,0.8,3.1,3.9,0.9,0.6,0.1,7.6,.610,.599,160.2,4.7,18.4,11.7,7.7,9.5,1.6,0.5,17.1,-0.3,1.3,121.1,114.1,7.0,178.0,16.3,2
21,"Ben Mockford",PAE,33,19.4,2.5,6.4,.400,1.7,4.6,.371,0.8,0.9,.839,0.8,1.3,0.2,0.8,0.9,1.1,0.4,0.0,7.6,.559,.533,161.0,1.0,5.0,3.0,10.0,10.4,1.1,0.0,20.6,-0.4,1.2,109.8,119.7,-10.0,103.6,12.2,1
23,"Gaizka Maiza",ISB,30,22.9,2.5,5.9,.416,1.4,3.5,.394,1.3,1.8,.717,2.2,1.7,0.2,1.3,1.5,3.0,0.4,0.0,7.6,.564,.531,152.7,1.3,7.5,4.3,24.4,24.7,0.9,0.1,19.8,-0.8,1.3,100.3,115.4,-15.1,121.9,10.1,0
28,"Pol Figueras",FCB,34,29.4,2.6,8.1,.316,1.2,3.9,.305,1.1,1.3,.837,2.7,2.4,0.5,1.7,2.2,5.2,1.1,0.0,7.4,.425,.389,145.9,2.1,6.7,4.4,29.6,24.0,2.1,0.1,18.1,2.3,0.9,89.1,111.9,-22.8,171.1,7.6,0
28,"Tautvydas Sabonis",CAS,38,22.4,2.9,7.2,.396,0.7,2.4,.283,0.9,1.3,.694,1.8,2.1,1.8,4.3,6.1,2.3,0.6,0.1,7.3,.469,.444,137.3,9.1,21.6,15.4,17.5,19.1,1.6,0.6,20.2,-1.4,1.0,95.5,104.6,-9.1,247.9,12.2,3
27,"Roma Bas",CAS,38,23.7,2.7,6.7,.407,1.3,3.6,.356,0.6,0.8,.828,0.8,1.6,0.2,1.1,1.2,1.1,0.7,0.0,7.3,.523,.502,159.0,0.8,5.0,2.9,7.9,10.1,1.7,0.0,15.4,-0.2,1.1,104.7,111.1,-6.3,121.9,8.8,2
23,"Eduardo Duran",MEL,47,20.7,2.5,5.9,.419,1.6,3.8,.421,0.7,0.8,.895,0.8,1.9,0.1,1.4,1.6,1.0,0.4,0.0,7.3,.580,.554,173.5,0.9,7.9,4.7,8.4,11.7,1.3,0.0,17.7,-0.9,1.2,110.6,109.1,1.5,161.5,11.1,1
17,"Adam Pechacek",ARAB,30,17.9,3.0,6.2,.481,0.1,0.7,.150,1.2,1.6,.729,0.6,2.2,1.4,2.4,3.8,0.4,0.3,0.5,7.3,.524,.489,136.0,9.4,16.8,13.0,3.9,8.0,0.8,2.5,19.4,-1.7,1.2,113.8,117.8,-4.0,138.8,15.0,3
22,"Sergi Martinez",FCB,34,25.5,2.9,7.0,.420,0.3,1.4,.208,1.1,2.1,.514,1.2,1.2,1.6,3.6,5.2,1.1,1.1,0.0,7.3,.458,.441,114.2,7.2,16.1,11.7,7.3,12.9,2.3,0.1,16.7,-1.8,1.0,96.1,107.9,-11.9,202.0,11.0,2
11,"Albert Fontet",MAG,33,23.9,3.0,5.6,.527,0.0,0.1,.500,1.3,2.0,.627,1.3,2.5,2.8,3.0,5.8,1.3,0.9,1.3,7.2,.555,.530,165.4,14.4,16.8,15.5,10.2,17.0,2.1,5.7,16.6,-2.1,1.3,111.9,104.8,7.1,271.1,17.7,4
6,"Oscar Alvarado",VAL,35,26.0,1.9,4.7,.406,1.0,2.8,.367,2.0,2.3,.887,1.8,1.1,0.2,2.9,3.1,6.0,1.5,0.0,6.9,.602,.515,166.1,1.0,13.6,7.4,37.8,24.2,3.2,0.0,14.4,8.5,1.5,121.9,108.2,13.7,348.8,17.4,0
27,"Olajide Keshinro",CAC,34,19.8,2.9,5.4,.533,0.0,0.0,.000,1.2,1.8,.645,1.6,2.6,1.6,2.4,4.0,0.5,0.4,0.8,6.9,.559,.533,117.8,10.6,14.9,12.8,4.6,20.5,1.0,4.2,19.6,-6.4,1.3,99.3,112.3,-13.0,146.8,12.4,3
25,"Alex Campbell",PRA,41,21.0,2.6,6.5,.393,1.0,3.2,.315,0.8,1.0,.721,0.7,2.3,1.0,1.7,2.6,0.7,0.4,0.0,6.9,.493,.470,143.0,5.5,10.1,7.8,6.5,8.9,1.1,0.2,18.4,-1.0,1.1,106.5,103.3,3.2,129.9,10.6,1
23,"Jito Kok",VAL,35,25.6,2.7,5.7,.480,0.0,0.1,.000,1.4,2.7,.521,1.6,3.0,1.5,3.9,5.5,0.4,0.4,1.5,6.9,.500,.480,100.1,7.6,18.6,13.2,2.7,18.9,1.0,5.9,16.2,-5.2,1.2,93.2,105.9,-12.6,186.8,10.7,4
